"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"PWY-1882",0.451124856192417,0.955951577803555,0.407395810743188,0.948193267615568
"PWY-2941",0.694431357584503,0.951433932073474,0.707501403409865,0.961482718959602
"PWY-2942",0.698052901891203,0.951354112632764,0.74243325177365,0.961910100272884
"PWY-3001",0.643234459143363,0.95117972223605,0.697027041040591,0.961124537314844
"PWY-3661",0.63281577501042,0.960704377149717,0.640691207197683,0.968420372491198
"PWY-3781",0.700960146248343,0.952895128491508,0.554803622367359,0.961119019952936
"PWY-3801",0.422678881835899,0.954262509275217,0.324007117687482,0.945624999414488
"PWY-4361",0.462908394877023,0.953660830718804,0.386382276702285,0.940981627964743
"PWY-4984",0.36447878851151,0.95117972223605,0.136020141616791,0.961119019952936
"PWY-5005",0.439926422450492,0.95117972223605,0.40996270801685,0.961119019952936
"PWY-5022",0.74423567922011,0.957216493426504,0.681700107731143,0.963278276435643
"PWY-5028",0.948051486509148,0.986301601563797,0.921488347868418,0.983579189183132
"PWY-5088",0.542707224628367,0.954396579189544,0.502334482043291,0.96395118738469
"PWY-5097",0.77101563321097,0.955072063970476,0.77175761860694,0.964903934118962
"PWY-5100",0.468059811171925,0.95117972223605,0.531502342156965,0.961119019952936
"PWY-5101",0.674270064462381,0.951214461849756,0.704921768717224,0.961168974371737
"PWY-5103",0.664913758959826,0.95117972223605,0.693578283950658,0.961119019952936
"PWY-5104",0.762146624983992,0.953679973540074,0.859043871639067,0.972714999448692
"PWY-5121",0.386103108334663,0.95117972223605,0.437997113846895,0.961119019952936
"PWY-5154",0.534627820479976,0.95117972223605,0.488181219440805,0.961119019952936
"PWY-5177",0.263836824029482,0.95117972223605,0.255230645880627,0.961119019952936
"PWY-5178",0.474903910620376,0.954941964699343,0.493038906773441,0.961419699292437
"PWY-5180",0.740643491290339,0.964635542221564,0.763874265144018,0.970983061015335
"PWY-5181",0.663364659595664,0.959985888226732,0.657792555038209,0.967222674841184
"PWY-5182",0.792543949424267,0.967226278921545,0.798165351890366,0.97160646905503
"PWY-5183",0.408978740179631,0.954595673314063,0.335985110600326,0.952490934494161
"PWY-5188",0.683536558509902,0.951552856489576,0.637366606970207,0.961119019952936
"PWY-5189",0.59838068367132,0.95117972223605,0.578735919885773,0.961119019952936
"PWY-5198",0.410748239977023,0.954143544481814,0.335972275359802,0.944235606660844
"PWY-5265",0.612971896619827,0.957735551415169,0.622162096023152,0.96577675663045
"PWY-5304",0.723427534726241,0.953503746911453,0.773727986436607,0.969790201344062
"PWY-5345",0.28696300521317,0.95117972223605,0.0711922907288061,0.961119019952936
"PWY-5347",0.565498585779495,0.95117972223605,0.667868298081193,0.961119019952936
"PWY-5384",0.718151839697754,0.951538561881001,0.668879398192224,0.961260337728049
"PWY-5415",0.752140775039012,0.964840509132232,0.755732997754343,0.972358389516526
"PWY-5417",0.920584255191813,0.982090008014453,0.874985089608286,0.979809416232412
"PWY-5419",0.309881172314058,0.951750520298651,0.225537683143201,0.958776848714973
"PWY-5420",0.461122435288516,0.953907442537429,0.372527356426549,0.954999152337944
"PWY-5430",0.404415956137439,0.953392930789875,0.290690184543701,0.956468498033137
"PWY-5431",0.927797213866342,0.982817497686292,0.887653343037061,0.979767135865995
"PWY-5484",0.614982056476004,0.95117972223605,0.644326655992518,0.961119019952936
"PWY-5499",0.550657590549817,0.958673292989803,0.510189764072572,0.960261092300206
"PWY-5505",0.194723508485461,0.95117972223605,0.182675914636913,0.961119019952936
"PWY-5507",0.618814738832926,0.954124648950176,0.488327268382903,0.961664136758821
"PWY-5509",0.890695888095358,0.97774026007809,0.896822027525608,0.974343330935132
"PWY-5529",0.464589401092727,0.957094108000924,0.465051401566196,0.958876737652994
"PWY-5531",0.730825530371981,0.965150091774454,0.760372276229581,0.972800454957576
"PWY-5647",0.160145576823,0.95117972223605,0.0632281764268783,0.78816148787778
"PWY-5651",0.201198634753764,0.949818142309237,0.126452382147707,0.897933735270994
"PWY-5654",0.151997989668876,0.946498743006578,0.0637759455109395,0.797288422708647
"PWY-5655",0.341177452948893,0.952748689043639,0.197905927772352,0.92352325212931
"PWY-5659",0.678183668456989,0.951309186608012,0.625653818301863,0.961119019952936
"PWY-5667",0.573112398813594,0.95117972223605,0.604517597678789,0.961119019952936
"PWY-5676",0.57759614952183,0.95117972223605,0.525594442690374,0.961119019952936
"PWY-5677",0.847074452871874,0.969952403454983,0.960867564305893,0.989506098665904
"PWY-5686",0.675901081360054,0.951241856918699,0.685402352471993,0.961119019952936
"PWY-5695",0.691992175976662,0.951339217751917,0.781462390873954,0.967591354982029
"PWY-5705",0.769891050613295,0.961444275086861,0.722205777235159,0.96602701960348
