sample-id,reads-raw,unique-reads-derep,reads-derep,unique-reads-deblur,reads-deblur,unique-reads-hit-artifact,reads-hit-artifact,unique-reads-chimeric,reads-chimeric,unique-reads-hit-reference,reads-hit-reference,unique-reads-missed-reference,reads-missed-reference
1825,43745,495,2747,82,1004,0,0,20,43,62,961,0,0
1864,29504,350,2062,69,874,0,0,24,66,45,808,0,0
1871,46205,571,3464,75,1178,0,0,11,23,64,1155,0,0
1876,22637,163,653,69,328,0,0,0,0,69,328,0,0
1913,34626,314,1535,82,639,0,0,2,3,80,636,0,0
1972,43391,401,2320,59,966,0,0,14,63,45,903,0,0
1973,43756,379,1930,81,746,0,0,16,42,65,704,0,0
2024,77632,948,5480,159,1890,0,0,71,174,88,1716,0,0
2028,50885,683,4731,24,1748,0,0,0,0,24,1748,0,0
2074,30331,248,1214,36,442,0,0,5,11,31,431,0,0
2088,51507,652,4047,75,1599,0,0,0,0,75,1599,0,0
2104,24318,255,1319,57,698,0,0,2,5,55,693,0,0
2108,26128,180,921,76,366,0,0,10,22,66,344,0,0
2118,30001,305,1595,73,736,0,0,20,53,53,683,0,0
2137,19451,162,787,64,394,0,0,6,19,58,375,0,0
3003,42733,445,2321,104,736,0,0,23,50,81,686,0,0
3011,36028,410,1910,125,902,0,0,5,14,120,888,0,0
3012,25582,223,966,64,432,0,0,3,4,61,428,0,0
3021,43898,436,2420,133,1056,0,0,23,50,110,1006,0,0
3022,38288,361,1745,134,828,0,0,15,35,119,793,0,0
3024,52936,542,2870,104,1066,0,0,29,73,75,993,0,0
3031,27930,279,1360,67,621,0,0,0,0,67,621,0,0
3036,18372,112,381,64,224,0,0,2,4,62,220,0,0
3040,23591,182,862,70,499,0,0,9,20,61,479,0,0
3046,28375,285,1416,71,637,0,0,9,21,62,616,0,0
3048,30568,259,1391,42,651,0,0,12,35,30,616,0,0
3049,31868,267,1322,79,549,0,0,20,42,59,507,0,0
3052,24798,213,1214,28,460,0,0,4,9,24,451,0,0
3053,31118,404,2815,20,1101,0,0,1,7,19,1094,0,0
3059,36657,270,1199,99,583,0,0,8,17,91,566,0,0
3060,26549,180,815,61,393,0,0,11,24,50,369,0,0
3063,58042,645,3631,123,1424,0,0,11,20,112,1404,0,0
3068,18894,116,510,42,248,0,0,0,0,42,248,0,0
3073,17994,187,814,83,446,0,0,1,1,82,445,0,0
3080,23128,183,967,56,421,0,0,6,13,50,408,0,0
3086,27620,180,965,66,449,0,0,4,8,62,441,0,0
3087,28746,252,1238,49,455,0,0,11,29,38,426,0,0
3090,26948,260,1173,107,556,0,0,9,18,98,538,0,0
3128,25071,228,1156,46,491,0,0,11,24,35,467,0,0
3162,22780,197,986,48,470,0,0,3,4,45,466,0,0
3173,28480,275,1277,98,539,0,0,21,56,77,483,0,0
3191,28086,383,1926,84,734,0,0,0,0,84,734,0,0
3201,34366,282,1433,81,576,0,0,18,37,63,539,0,0
3213,15870,111,497,36,239,0,0,0,0,36,239,0,0
3217,24591,206,1085,28,478,0,0,2,5,26,473,0,0
3222,20456,142,724,50,352,0,0,1,2,49,350,0,0
8223,16983,165,755,49,347,0,0,0,0,49,347,0,0
8288,23434,221,1065,48,445,0,0,9,18,39,427,0,0
8876,20843,242,1170,53,545,0,0,1,1,52,544,0,0
