sample-id,reads-raw,unique-reads-derep,reads-derep,unique-reads-deblur,reads-deblur,unique-reads-hit-artifact,reads-hit-artifact,unique-reads-chimeric,reads-chimeric,unique-reads-hit-reference,reads-hit-reference,unique-reads-missed-reference,reads-missed-reference
2088,51507,1450,12346,88,6189,0,0,0,0,88,6189,0,0
2104,24318,736,4942,99,2739,0,0,3,5,96,2734,0,0
2108,26128,667,4265,147,2221,0,0,12,25,135,2196,0,0
2118,30001,864,6188,122,3044,0,0,9,24,113,3020,0,0
2137,19451,494,3156,140,1903,0,0,13,23,127,1880,0,0
3003,42733,1214,8681,157,4257,0,0,15,32,142,4225,0,0
3011,36028,1011,6925,229,3800,0,0,4,6,225,3794,0,0
3012,25582,698,4146,132,1894,0,0,3,5,129,1889,0,0
3021,43898,1229,9284,230,5510,0,0,6,11,222,5495,2,4
3022,38288,997,6727,243,3853,0,0,9,18,233,3833,1,2
3024,52936,1498,11145,127,4743,0,0,26,61,101,4682,0,0
3031,27930,836,5507,122,2677,0,0,8,21,114,2656,0,0
3036,18372,439,2494,170,1405,0,0,4,12,166,1393,0,0
3040,23591,608,4127,155,2372,0,0,9,28,145,2342,1,2
3046,28375,839,6005,159,2969,0,0,13,39,146,2930,0,0
3048,30568,898,6808,79,3230,0,0,14,32,65,3198,0,0
3049,31868,894,6254,151,2952,0,0,10,19,141,2933,0,0
3052,24798,688,4780,91,2109,0,0,3,6,88,2103,0,0
3053,31118,871,8207,27,3960,0,0,3,13,24,3947,0,0
3059,36657,933,6096,250,3359,0,0,14,65,236,3294,0,0
3060,26549,756,4625,184,2278,0,0,11,39,172,2237,1,2
3063,58042,1682,12739,218,6124,0,0,7,12,211,6112,0,0
3068,18894,536,3302,76,1591,0,0,0,0,76,1591,0,0
3073,17994,463,2852,186,1821,0,0,0,0,184,1815,2,6
3080,23128,659,4338,136,2224,0,0,21,45,115,2179,0,0
3086,27620,708,4716,155,2644,0,0,5,9,150,2635,0,0
3087,28746,804,5971,75,2609,0,0,5,13,70,2596,0,0
3090,26948,798,5024,211,2613,0,0,3,7,208,2606,0,0
3128,25071,668,4755,77,2257,0,0,5,11,72,2246,0,0
3162,22780,645,4327,108,2195,0,0,1,1,107,2194,0,0
3173,28480,808,5328,168,2911,0,0,14,25,154,2886,0,0
3191,28086,797,6110,123,2963,0,0,2,3,121,2960,0,0
3201,34366,887,5949,156,2828,0,0,22,50,134,2778,0,0
3213,15870,372,2056,68,969,0,0,1,1,67,968,0,0
3217,24591,702,4891,51,2230,0,0,3,7,48,2223,0,0
3222,20456,498,3032,123,1539,0,0,2,4,121,1535,0,0
8223,16983,468,3070,90,1536,0,0,1,2,89,1534,0,0
8288,23434,624,4338,109,2216,0,0,5,27,104,2189,0,0
8876,20843,569,3955,83,1970,0,0,1,3,82,1967,0,0
